46.0,82.0,53.0,106.0
53.0,106.0,58.0,135.0
58.0,135.0,61.0,165.0
61.0,165.0,63.0,190.0
63.0,190.0,65.0,215.0
65.0,215.0,69.0,275.0
69.0,275.0,72.0,303.0
72.0,303.0,78.0,345.0
78.0,345.0,83.0,370.0
83.0,370.0,96.0,410.0
96.0,410.0,106.0,433.0
106.0,433.0,129.0,475.0
129.0,475.0,165.0,519.0
165.0,519.0,207.0,545.0
207.0,545.0,252.0,549.0
252.0,549.0,306.0,531.0
306.0,531.0,348.0,504.0
651.0,270.0,674.0,281.0
674.0,281.0,696.0,295.0
696.0,295.0,715.0,313.0
715.0,313.0,728.0,335.0
728.0,335.0,737.0,360.0
737.0,360.0,742.0,387.0
742.0,387.0,742.0,413.0
742.0,413.0,736.0,438.0
736.0,438.0,724.0,460.0
724.0,460.0,707.0,479.0
707.0,479.0,683.0,491.0
683.0,491.0,658.0,497.0
658.0,497.0,633.0,499.0
651.0,268.0,627.0,263.0
627.0,263.0,603.0,258.0
603.0,258.0,579.0,257.0
579.0,257.0,555.0,259.0
552.0,259.0,529.0,267.0
529.0,267.0,505.0,274.0
505.0,274.0,481.0,280.0
523.0,550.0,500.0,562.0
500.0,562.0,476.0,572.0
476.0,572.0,452.0,576.0
452.0,576.0,427.0,570.0
427.0,570.0,403.0,555.0
403.0,555.0,383.0,541.0
383.0,541.0,361.0,523.0
